/* x,Curve1
0.0201917,0.985654
0.0232064,0.984241
0.0261817,0.981391
0.0295384,0.97854
0.032411,0.975685
0.0345861,0.97426
0.0375991,0.971404
0.0412545,0.969984
0.0469786,0.9657
0.0496698,0.962839
0.0539955,0.961417
0.0565616,0.958555
0.0592497,0.955693
0.0644131,0.951402
0.0693763,0.949979
0.0740361,0.945685
0.0790067,0.942825
0.0835326,0.939964
0.0883202,0.935669
0.0925175,0.932807
0.0969117,0.931379
0.100583,0.927081
0.107341,0.921352
0.11244,0.919925
0.114557,0.914189
0.119998,0.912761
0.128058,0.908467
0.132913,0.902734
0.14053,0.898439
0.147217,0.892707
0.154221,0.886975
0.160067,0.881242
0.163082,0.875506
0.170837,0.871209
0.177308,0.866911
0.184025,0.862613
0.187485,0.858311
0.194582,0.855448
0.201958,0.849715
0.207679,0.84398
0.21756,0.838248
0.223717,0.833949
0.232185,0.831085
0.240994,0.823917
0.250123,0.819619
0.257214,0.81245
0.262058,0.806714
0.26946,0.805283
0.274527,0.800982
0.284926,0.796684
0.293005,0.789514
0.301312,0.782345
0.309847,0.776611
0.321593,0.770877
0.330703,0.765143
0.34007,0.759408
0.346474,0.753672
0.359599,0.749374
0.366371,0.743638
0.373251,0.740772
0.383813,0.736472
0.391052,0.729301
0.402118,0.725001
0.40969,0.719265
0.421307,0.712096
0.43324,0.706361
0.445524,0.699192
0.462426,0.692024
0.475537,0.684855
0.493577,0.677687
0.498242,0.670515
0.507612,0.666214
0.522004,0.659045
0.526939,0.651873
0.541836,0.649007
0.557199,0.641838
0.578367,0.631801
0.589259,0.626065
0.600372,0.618894
0.623164,0.610292
0.64085,0.601688
0.652901,0.597387
0.671431,0.588783
0.696921,0.58018
0.710064,0.573009
0.723456,0.565839
0.743948,0.560104
0.757958,0.554368
0.772253,0.547198
0.801549,0.54003
0.824297,0.531426
0.847692,0.522822
0.871726,0.515653
0.896419,0.509918
0.913325,0.502747
0.921934,0.49701
0.956857,0.492712
0.965876,0.486974
0.984066,0.481238
1.00262,0.474067
1.031,0.469768
1.05044,0.462597
1.10045,0.455431
1.11091,0.445389
1.15305,0.438221
1.18578,0.429617
1.21937,0.423883
1.24236,0.416712
1.28946,0.410979
1.32606,0.402375
1.37632,0.396642
1.41546,0.385169
1.46912,0.379435
1.52485,0.372268
1.56813,0.363664
1.61259,0.356494
1.6584,0.346456
1.73735,0.339289
1.77012,0.332119
1.82026,0.326384
1.87187,0.319215
1.92489,0.31348
1.99791,0.306313
2.07381,0.296275
2.17254,0.289109
2.27604,0.280508
2.38446,0.271907
2.52139,0.261873
2.64156,0.251837
2.79318,0.243237
2.92632,0.233201
3.15222,0.224605
3.27197,0.214567
3.45969,0.207402
3.62449,0.198801
3.79694,0.19307
3.97771,0.185903
4.16708,0.178737
4.40603,0.173007
4.61566,0.167275
4.79089,0.158673
5.01857,0.15581
5.25736,0.150079
5.55882,0.144349
5.87742,0.140053
6.04406,0.132884
6.39081,0.125719
6.88397,0.118557
7.34693,0.109959
7.84039,0.105665
8.36722,0.099936
9.01266,0.0942087
9.52896,0.0913479
10.169,0.0870539
10.7518,0.0827584
11.474,0.0784644
12.0192,0.0756022
12.5904,0.07274
13.0667,0.071311
13.8152,0.0684503
14.7431,0.0641562
15.5877,0.0612955
16.6342,0.0584361
17.9169,0.0541436
18.9433,0.0512828
20.0284,0.048422
21.1758,0.0455613
23.0212,0.0412701
24.1133,0.0427121
25.4947,0.0398513
27.4598,0.0369934
29.3034,0.0341341
30.6968,0.0298372
32.756,0.0298473
33.9959,0.0269836
36.2764,0.0269938
38.3545,0.024133
41.6937,0.024146
43.6751,0.0212838
46.6061,0.0198592
51.1385,0.0170042
56.1101,0.0155839
61.5635,0.0155984
66.9268,0.012742
74.1177,0.0113231
82.8482,0.00847104
90.9026,0.00705077
97.9043,0.00706233
